"ensembl_gene_id","entrezgene_id","mgi_symbol","gene_biotype","chromosome_name","start_position","end_position","p.overall","q.overall","post.hoc.A.By.p","post.hoc.peak.By.p","post.hoc.M.By.p","post.hoc.A.By.q","post.hoc.peak.By.q","post.hoc.M.By.q","A1","A2","delta.A","p.delta.A","q.delta.A","peak1","peak2","delta.peak","p.delta.peak","q.delta.peak","M1","M2","delta.M","p.delta.M","q.delta.M","P"
"ENSMUSG00000001018",20615,"Snapin","protein_coding","3",90395333,90398340,0.061,0.084,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.056,0.062,0.006,0.799,0.997,9.011,4.877,-4.134,0.008,0.016,10.892,10.88,-0.012,0.454,0.731,24
"ENSMUSG00000074457",67860,"S100a16","protein_coding","3",90444561,90450458,0.081,0.106,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.247,0.142,-0.105,0.052,0.847,2.176,0.518,-1.658,0.148,0.168,11.459,11.447,-0.013,0.741,0.906,24
"ENSMUSG00000028150",19885,"Rorc","protein_coding","3",94280101,94305583,0.045,0.065,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.131,0.084,-0.046,0.283,0.997,17.057,12.747,-4.311,0.015,0.024,7.903,7.897,-0.006,0.845,0.948,24
"ENSMUSG00000028137",78784,"Celf3","protein_coding","3",94385602,94399505,0,0.002,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,0.135,0.081,-0.054,0.128,0.919,8.278,3.633,-4.644,0.001,0.005,11.926,11.987,0.061,0.017,0.178,24
"ENSMUSG00000028136",76742,"Snx27","protein_coding","3",94404851,94490023,0.003,0.009,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.083,0.048,-0.034,0.061,0.87,19.537,15.606,-3.931,0.002,0.007,13.122,13.113,-0.009,0.492,0.762,24
"ENSMUSG00000005774",53970,"Rfx5","protein_coding","3",94861386,94868872,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.098,0.073,-0.025,0.235,0.997,6.968,1.354,-5.614,0,0.001,10.5,10.509,0.009,0.56,0.807,24
"ENSMUSG00000019338",78266,"Zfp687","protein_coding","3",94913901,94922759,0.005,0.012,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.093,0.085,-0.008,0.716,0.997,6.439,2.741,-3.698,0,0.002,11.442,11.443,0.001,0.924,0.975,24
"ENSMUSG00000005625",19185,"Psmd4","protein_coding","3",94940005,94949925,0.25,0.278,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.045,0.053,0.008,0.721,0.997,11.051,8.879,-2.172,0.186,0.205,12.294,12.316,0.022,0.143,0.437,24
"ENSMUSG00000038777",20360,"Sema6c","protein_coding","3",95067768,95081335,0.071,0.095,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.072,0.048,-0.024,0.319,0.997,2.428,22.422,19.994,0.021,0.031,10.562,10.565,0.003,0.856,0.952,24
"ENSMUSG00000046722",57912,"Cdc42se1","protein_coding","3",95136043,95143720,0.008,0.018,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.074,0.062,-0.012,0.621,0.997,16.123,11.281,-4.842,0.002,0.007,11.265,11.243,-0.022,0.205,0.517,24
"ENSMUSG00000038612",17210,"Mcl1","protein_coding","3",95566099,95570487,0,0.002,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0.076,0.05,-0.026,0.288,0.997,14.439,9.668,-4.771,0.011,0.02,11.877,11.821,-0.056,0.001,0.119,24
"ENSMUSG00000028107",71807,"Tars2","protein_coding","3",95647288,95667518,0,0.001,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.107,0.082,-0.025,0.319,0.997,18.386,13.254,-5.131,0,0.001,10.003,10.004,0.001,0.953,0.983,24
"ENSMUSG00000015748",70767,"Prpf3","protein_coding","3",95737436,95763197,0.13,0.158,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.066,0.069,0.003,0.91,0.997,17.011,13.189,-3.821,0.019,0.029,9.366,9.371,0.006,0.763,0.915,24
"ENSMUSG00000038550",229599,"Ciart","protein_coding","3",95785815,95789563,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.38,0.173,-0.208,0,0.07,9.688,6.231,-3.457,0.001,0.003,8.352,8.37,0.018,0.643,0.852,24
"ENSMUSG00000045934",194126,"Mtmr11","protein_coding","3",96069321,96079034,0.039,0.058,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.102,0.083,-0.02,0.602,0.997,2.436,22.513,20.078,0.016,0.026,8.134,8.1,-0.035,0.194,0.505,24
"ENSMUSG00000081058",97114,"H3c15","protein_coding","3",96145424,96146443,0,0.001,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.198,0.114,-0.084,0.085,0.889,21.216,15.784,-5.432,0.001,0.004,7.335,7.29,-0.045,0.189,0.497,24
"ENSMUSG00000093577",NA,"Gm20632","lncRNA","3",96146709,96149135,0.016,0.03,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.159,0.141,-0.018,0.691,0.997,7.315,3.702,-3.613,0.004,0.011,6.783,6.821,0.038,0.246,0.563,24
"ENSMUSG00000063954",319192,"H2ac19","protein_coding","3",96147065,96147592,0.003,0.009,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.178,0.132,-0.047,0.39,0.997,20.772,16.688,-4.084,0.004,0.011,7.039,6.96,-0.079,0.042,0.256,24
"ENSMUSG00000093553",NA,"Gm20633","lncRNA","3",96150866,96153696,0.098,0.125,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.147,0.11,-0.037,0.371,0.997,7.066,4.095,-2.971,0.025,0.035,6.783,6.797,0.014,0.632,0.849,24
"ENSMUSG00000038374",60365,"Rbm8a","protein_coding","3",96537249,96541107,0.045,0.065,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.053,0.06,0.007,0.779,0.997,17.495,12.518,-4.977,0.005,0.013,11.249,11.245,-0.004,0.794,0.932,24
"ENSMUSG00000038354",213121,"Ankrd35","protein_coding","3",96577447,96598348,0.007,0.016,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.108,0.084,-0.024,0.523,0.997,7.056,2.186,-4.87,0.005,0.012,9.835,9.879,0.044,0.098,0.366,24
"ENSMUSG00000028101",229615,"Pias3","protein_coding","3",96603700,96613386,0.009,0.019,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.052,0.041,-0.012,0.487,0.997,5.111,23.798,18.688,0.002,0.006,10.345,10.347,0.002,0.882,0.957,24
"ENSMUSG00000027875",15360,"Hmgcs2","protein_coding","3",98187751,98218054,0,0.001,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.189,0.091,-0.098,0.035,0.741,0.677,18.584,17.907,0.005,0.012,10.334,10.309,-0.024,0.461,0.739,24
"ENSMUSG00000033222",74044,"Ttf2","protein_coding","3",100846176,100876979,0.575,0.594,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.091,0.073,-0.018,0.615,0.997,3.103,2.699,-0.404,0.819,0.824,7.018,6.986,-0.032,0.217,0.535,24
"ENSMUSG00000086564",630146,"Cd101","protein_coding","3",100900845,100936872,0.024,0.039,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.177,0.104,-0.072,0.093,0.889,14.187,11.79,-2.398,0.068,0.084,5.904,5.851,-0.053,0.079,0.325,24
"ENSMUSG00000027861",12373,"Casq2","protein_coding","3",101993731,102053830,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.249,0.121,-0.127,0.012,0.515,3.715,22.816,19.101,0.001,0.004,7.827,7.822,-0.005,0.893,0.96,24
"ENSMUSG00000032902",20501,"Slc16a1","protein_coding","3",104545984,104565778,0.007,0.016,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.156,0.09,-0.066,0.135,0.937,1.865,0.581,-1.284,0.352,0.37,11.812,11.723,-0.088,0.006,0.126,24
"ENSMUSG00000002227",17454,"Mov10","protein_coding","3",104702152,104725879,0,0.002,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,0.088,0.076,-0.011,0.74,0.997,21.401,15.1,-6.301,0.002,0.007,9.153,9.087,-0.066,0.008,0.134,24
"ENSMUSG00000062778",81600,"Chia1","protein_coding","3",106020545,106039436,0.074,0.098,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.126,0.099,-0.026,0.602,0.997,9.936,5.871,-4.065,0.028,0.04,5.74,5.78,0.04,0.267,0.587,24
"ENSMUSG00000040774",99712,"Cept1","protein_coding","3",106409576,106455118,0.009,0.019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.091,0.053,-0.037,0.146,0.937,19.727,16.522,-3.205,0.03,0.042,10.762,10.722,-0.041,0.027,0.211,24
"ENSMUSG00000040724",16490,"Kcna2","protein_coding","3",107008462,107022321,0.876,0.882,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.087,0.094,0.007,0.865,0.997,19.608,18.148,-1.46,0.433,0.45,13.182,13.188,0.005,0.864,0.954,24
"ENSMUSG00000027896",229699,"Slc16a4","protein_coding","3",107198546,107219431,0.165,0.195,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.079,0.075,-0.004,0.905,0.997,5.858,5.613,-0.245,0.898,0.9,7.213,7.153,-0.06,0.027,0.211,24
"ENSMUSG00000086968",329735,"4933431E20Rik","lncRNA","3",107796166,107803529,0.458,0.482,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.06,0.048,-0.012,0.587,0.997,20.903,18.746,-2.157,0.211,0.23,12.033,12.02,-0.013,0.435,0.721,24
"ENSMUSG00000027890",14865,"Gstm4","protein_coding","3",107947724,107952210,0.4,0.425,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.11,0.068,-0.042,0.176,0.994,6.818,5.281,-1.537,0.319,0.337,9.291,9.297,0.005,0.806,0.936,24
"ENSMUSG00000027889",109674,"Ampd2","protein_coding","3",107981378,107993967,0.022,0.037,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.075,0.073,-0.002,0.928,0.997,1.349,20.952,19.604,0.002,0.008,12.39,12.392,0.003,0.889,0.958,24
"ENSMUSG00000050947",229715,"Amigo1","protein_coding","3",108093651,108099602,0.085,0.11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.05,0.05,0.001,0.96,0.997,22.61,18.992,-3.618,0.009,0.017,12.319,12.318,-0.002,0.887,0.958,24
"ENSMUSG00000068749",26442,"Psma5","protein_coding","3",108164242,108187290,0.098,0.124,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.046,0.05,0.004,0.871,0.997,13.144,8.925,-4.219,0.021,0.032,11.187,11.202,0.015,0.341,0.649,24
"ENSMUSG00000068732",67495,"Tmem167b","protein_coding","3",108463741,108469782,0.003,0.009,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.046,0.039,-0.007,0.704,0.997,19.642,12.638,-7.004,0.006,0.014,11.28,11.257,-0.023,0.09,0.347,24
"ENSMUSG00000027881",66921,"Prpf38b","protein_coding","3",108810121,108819043,0.003,0.009,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.177,0.141,-0.037,0.356,0.997,16.823,13.123,-3.7,0.001,0.004,11.092,11.081,-0.011,0.682,0.872,24
"ENSMUSG00000051638",NA,"Gm9857","lncRNA","3",108847189,108847762,0.008,0.018,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0.099,0.106,0.006,0.891,0.997,20.666,16.167,-4.499,0.016,0.026,5.845,5.929,0.084,0.011,0.157,24
"ENSMUSG00000045092",13609,"S1pr1","protein_coding","3",115504082,115508721,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.112,0.069,-0.043,0.133,0.937,22.095,14.536,-7.559,0.001,0.004,12.323,12.31,-0.014,0.489,0.76,24
"ENSMUSG00000052769",NA,"Gm9889","lncRNA","3",115508787,115510377,0.014,0.027,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.08,0.099,0.019,0.666,0.997,4.629,21.401,16.771,0.008,0.016,5.51,5.529,0.018,0.562,0.808,24
"ENSMUSG00000000339",66368,"Rtca","protein_coding","3",116282612,116301857,0.004,0.011,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.079,0.046,-0.033,0.168,0.97,11.13,7.782,-3.347,0.041,0.055,10.586,10.629,0.043,0.011,0.157,24
"ENSMUSG00000000340",13171,"Dbt","protein_coding","3",116306719,116343630,0.002,0.005,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.101,0.072,-0.029,0.361,0.997,17.368,11.292,-6.076,0.004,0.01,9.826,9.825,-0.001,0.974,0.99,24
"ENSMUSG00000033308",99586,"Dpyd","protein_coding","3",118355778,119226573,0.058,0.081,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.053,0.062,0.009,0.713,0.997,11.255,6.312,-4.943,0.007,0.015,8.974,8.967,-0.007,0.702,0.884,24
"ENSMUSG00000044522",100503044,"A730020M07Rik","lncRNA","3",121428585,121437134,0.002,0.008,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.127,0.136,0.009,0.853,0.997,18.123,13.739,-4.384,0.004,0.011,6.724,6.643,-0.081,0.017,0.178,24
"ENSMUSG00000028128",14066,"F3","protein_coding","3",121517186,121528697,0.232,0.261,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.105,0.101,-0.004,0.919,0.997,13.57,10.873,-2.696,0.071,0.087,10.914,10.884,-0.03,0.283,0.6,24
"ENSMUSG00000039701",99526,"Usp53","protein_coding","3",122725142,122778159,0.008,0.018,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.077,0.114,0.037,0.326,0.997,14.803,9.952,-4.851,0.002,0.007,10.283,10.239,-0.044,0.093,0.353,24
"ENSMUSG00000028028",71481,"Alpk1","protein_coding","3",127463959,127574176,0.051,0.072,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.112,0.126,0.014,0.774,0.997,13.438,9.024,-4.414,0.009,0.017,7.7,7.705,0.005,0.874,0.955,24
"ENSMUSG00000019232",71760,"Etnppl","protein_coding","3",130411097,130431170,0,0.002,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.366,0.327,-0.039,0.614,0.997,18.513,14.475,-4.038,0,0.001,11.174,11.171,-0.004,0.948,0.983,24
"ENSMUSG00000041084",66357,"Ostc","protein_coding","3",130489561,130503093,0.001,0.003,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.104,0.066,-0.038,0.231,0.997,18.671,12.097,-6.575,0.002,0.008,10.696,10.675,-0.021,0.341,0.649,24
"ENSMUSG00000028031",56811,"Dkk2","protein_coding","3",131791053,131886065,0.146,0.175,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.143,0.103,-0.04,0.449,0.997,6.831,3.991,-2.84,0.114,0.132,6.338,6.392,0.054,0.155,0.452,24
"ENSMUSG00000028030",271981,"Tbck","protein_coding","3",132389905,132547449,0.047,0.067,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.085,0.058,-0.026,0.406,0.997,21.378,18.202,-3.176,0.095,0.113,10.524,10.48,-0.045,0.05,0.275,24
"ENSMUSG00000037994",97086,"Slc9b2","protein_coding","3",135013461,135051148,0.032,0.05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.122,0.088,-0.034,0.457,0.997,1.532,21.574,20.041,0.031,0.043,8.087,8.039,-0.049,0.129,0.42,24
"ENSMUSG00000091512",56692,"Lamtor3","protein_coding","3",137624267,137634661,0.007,0.016,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.068,0.043,-0.025,0.3,0.997,13.945,9.22,-4.726,0.017,0.028,9.893,9.928,0.034,0.049,0.273,24
"ENSMUSG00000028152",56224,"Tspan5","protein_coding","3",138447956,138613666,0.01,0.02,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.05,0.042,-0.008,0.636,0.997,18.908,13.716,-5.192,0.001,0.005,11.65,11.643,-0.007,0.542,0.796,24
"ENSMUSG00000052430",12167,"Bmpr1b","protein_coding","3",141542897,141875186,0.001,0.003,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.182,0.069,-0.113,0.009,0.499,22.924,18.992,-3.932,0.033,0.046,10.568,10.515,-0.054,0.079,0.325,24
"ENSMUSG00000043020",242253,"Dnai3","protein_coding","3",145746281,145813885,0.073,0.097,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.174,0.159,-0.015,0.839,0.997,2.902,22.161,19.26,0.015,0.024,8.688,8.679,-0.009,0.86,0.953,24
"ENSMUSG00000039167",170757,"Adgrl4","protein_coding","3",151143524,151250723,0.003,0.008,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.096,0.102,0.006,0.893,0.997,18.52,13.188,-5.332,0.006,0.013,9.352,9.28,-0.072,0.019,0.187,24
"ENSMUSG00000028035",67035,"Dnajb4","protein_coding","3",151884148,151915939,0.001,0.004,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.135,0.114,-0.021,0.465,0.997,16.746,12.968,-3.778,0,0.002,11.601,11.583,-0.018,0.376,0.671,24
"ENSMUSG00000028034",51886,"Fubp1","protein_coding","3",151916059,151942463,0.022,0.038,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.112,0.085,-0.027,0.271,0.997,18.108,15.117,-2.991,0.005,0.013,11.715,11.724,0.009,0.599,0.831,24
"ENSMUSG00000025437",170822,"Usp33","protein_coding","3",152052115,152099254,0.08,0.104,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.071,0.053,-0.018,0.474,0.997,19.63,15.432,-4.198,0.02,0.03,12.453,12.447,-0.006,0.732,0.901,24
"ENSMUSG00000028182",74435,"Lrriq3","protein_coding","3",154799071,154899917,0.094,0.12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.076,0.063,-0.013,0.686,0.997,23.578,3.743,-19.835,0.032,0.044,6.283,6.253,-0.03,0.195,0.505,24
"ENSMUSG00000028180",53861,"Zranb2","protein_coding","3",157239797,157254047,0.071,0.095,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.153,0.082,-0.071,0.055,0.85,17.577,15.464,-2.113,0.108,0.126,11.39,11.406,0.017,0.523,0.78,24
"ENSMUSG00000028179",107869,"Cth","protein_coding","3",157599885,157630714,0.011,0.022,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.174,0.121,-0.052,0.189,0.997,15.616,12.349,-3.267,0.006,0.014,7.639,7.65,0.01,0.708,0.886,24
"ENSMUSG00000055436",69207,"Srsf11","protein_coding","3",157716110,157742276,0.181,0.21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.103,0.087,-0.017,0.63,0.997,16.789,14.527,-2.262,0.113,0.131,11.291,11.326,0.035,0.158,0.456,24
"ENSMUSG00000028243",68053,"Ubxn2b","protein_coding","4",6191098,6221688,0,0.001,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.149,0.1,-0.049,0.091,0.889,18.761,14.829,-3.932,0,0.001,10.882,10.837,-0.045,0.03,0.216,24
"ENSMUSG00000059482",67157,"Cfap418","protein_coding","4",10874498,10899425,0.008,0.018,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.061,0.054,-0.007,0.792,0.997,18.889,12.135,-6.754,0.004,0.012,11.053,11.065,0.013,0.475,0.75,24
"ENSMUSG00000028211",60599,"Trp53inp1","protein_coding","4",11156431,11174379,0,0,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,0.118,0.085,-0.033,0.364,0.997,14.853,8.114,-6.739,0.004,0.011,9.531,9.46,-0.071,0.007,0.133,24
"ENSMUSG00000040738",72656,"Ints8","protein_coding","4",11199158,11254258,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.176,0.147,-0.029,0.404,0.997,17.832,13.474,-4.358,0,0,10.449,10.424,-0.025,0.318,0.631,24
"ENSMUSG00000094595",100503583,"Fsbp","protein_coding","4",11579665,11587591,0.126,0.154,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.084,0.087,0.003,0.942,0.997,5.574,1.663,-3.911,0.026,0.038,6.529,6.548,0.02,0.448,0.726,24
"ENSMUSG00000028214",14579,"Gem","protein_coding","4",11704457,11714752,0.004,0.011,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.078,0.146,0.067,0.19,0.997,11.632,19.378,7.745,0.01,0.018,8.126,8.126,0,0.998,0.999,24
"ENSMUSG00000052137",77604,"Rbm12b2","protein_coding","4",12089439,12096243,0.004,0.01,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.179,0.123,-0.056,0.208,0.997,16.997,13.396,-3.6,0.007,0.015,8.525,8.466,-0.059,0.063,0.3,24
"ENSMUSG00000046667",72397,"Rbm12b1","protein_coding","4",12140264,12146731,0.002,0.007,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.255,0.151,-0.104,0.049,0.83,16.708,13.364,-3.344,0.011,0.02,7.905,7.862,-0.044,0.241,0.558,24
"ENSMUSG00000028221",72519,"Pip4p2","protein_coding","4",14864076,14915176,0,0.002,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.083,0.075,-0.008,0.736,0.997,18.104,12.797,-5.307,0,0.001,10.823,10.836,0.013,0.444,0.725,24
"ENSMUSG00000028252",51813,"Ccnc","protein_coding","4",21727701,21759922,0.009,0.02,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.079,0.062,-0.017,0.614,0.997,16.575,9.784,-6.791,0.013,0.022,9.585,9.567,-0.018,0.426,0.711,24
"ENSMUSG00000040455",77593,"Usp45","protein_coding","4",21767156,21837872,0.049,0.07,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.11,0.064,-0.046,0.176,0.994,16.034,12.172,-3.863,0.036,0.049,10.448,10.444,-0.003,0.892,0.96,24
"ENSMUSG00000107859",105500046,"Gm30731","lncRNA","4",22490548,22493126,0.006,0.014,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.134,0.095,-0.039,0.392,0.997,8.716,3.122,-5.594,0.002,0.008,6.285,6.317,0.031,0.335,0.644,24
"ENSMUSG00000028284",26409,"Map3k7","protein_coding","4",31964097,32023467,0.008,0.018,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.048,0.068,0.02,0.353,0.997,6.56,1.39,-5.17,0.002,0.008,11.079,11.061,-0.018,0.226,0.543,24
"ENSMUSG00000040128",108767,"Pnrc1","protein_coding","4",33245423,33290163,0.037,0.055,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.058,0.051,-0.007,0.782,0.997,20.497,17.334,-3.163,0.094,0.112,11.112,11.069,-0.043,0.022,0.195,24
"ENSMUSG00000028274",24018,"Rngtt","protein_coding","4",33310311,33502614,0,0,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,0.141,0.091,-0.05,0.066,0.889,20.408,16.374,-4.033,0,0.001,10.548,10.49,-0.057,0.003,0.119,24
"ENSMUSG00000028291",433693,"Akirin2","protein_coding","4",34550937,34566908,0.015,0.028,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.049,0.041,-0.007,0.722,0.997,18.9,12.945,-5.955,0.012,0.021,11.19,11.171,-0.019,0.182,0.49,24
"ENSMUSG00000028292",109093,"Rars2","protein_coding","4",34614957,34660167,0.065,0.089,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.068,0.045,-0.023,0.305,0.997,7.352,3.257,-4.095,0.017,0.027,9.154,9.162,0.008,0.618,0.842,24
"ENSMUSG00000028410",15502,"Dnaja1","protein_coding","4",40722150,40737149,0,0.001,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.146,0.129,-0.017,0.567,0.997,18.692,14.431,-4.261,0,0,13.541,13.523,-0.017,0.416,0.705,24
"ENSMUSG00000028423",74164,"Nfx1","protein_coding","4",40970906,41025993,0,0.001,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.06,0.048,-0.012,0.517,0.997,7.715,0.807,-6.908,0.001,0.003,11.724,11.737,0.013,0.286,0.602,24
"ENSMUSG00000028433",68926,"Ubap2","protein_coding","4",41194313,41275144,0.024,0.04,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.06,0.057,-0.002,0.934,0.997,20.59,17.164,-3.426,0.093,0.111,11.705,11.652,-0.053,0.014,0.165,24
"ENSMUSG00000028436",68970,"Dcaf12","protein_coding","4",41291300,41314889,0.015,0.027,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.061,0.052,-0.008,0.668,0.997,17.93,13.723,-4.207,0.004,0.011,11.37,11.349,-0.022,0.118,0.399,24
"ENSMUSG00000120740",NA,"Gm57103","lncRNA","4",41314960,41320630,0.003,0.009,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.107,0.089,-0.019,0.606,0.997,7.21,1.446,-5.763,0.001,0.003,6.481,6.499,0.018,0.473,0.748,24
"ENSMUSG00000046312",329828,"Myorg","protein_coding","4",41495604,41503076,0,0.001,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.138,0.123,-0.016,0.636,0.997,19.418,14.38,-5.038,0,0,11.472,11.451,-0.021,0.361,0.662,24
"ENSMUSG00000061322",68922,"Dnai1","protein_coding","4",41569775,41638158,0.001,0.005,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.197,0.094,-0.103,0.022,0.65,3.609,23.471,19.862,0.014,0.024,8.983,8.99,0.008,0.808,0.936,24
"ENSMUSG00000028444",12804,"Cntfr","protein_coding","4",41657498,41697089,0.018,0.032,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.063,0.046,-0.017,0.534,0.997,23.317,17.058,-6.259,0.01,0.018,12.103,12.084,-0.018,0.343,0.649,24
"ENSMUSG00000102504",NA,"Gm21955","TEC","4",42714926,42719893,0.306,0.333,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.111,0.116,0.005,0.908,0.997,17.88,15.388,-2.492,0.091,0.109,7.195,7.22,0.024,0.413,0.704,24
"ENSMUSG00000028453",60534,"Fancg","protein_coding","4",43002343,43010506,0.038,0.057,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.156,0.124,-0.032,0.38,0.997,15.903,13.063,-2.84,0.008,0.017,8.557,8.549,-0.009,0.734,0.901,24
"ENSMUSG00000028454",56703,"Pigo","protein_coding","4",43017635,43025819,0.056,0.078,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.047,0.056,0.008,0.725,0.997,3.261,22.134,18.873,0.008,0.016,10.342,10.334,-0.009,0.608,0.835,24
"ENSMUSG00000028457",320571,"Atp8b5","protein_coding","4",43267159,43373833,0.016,0.029,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.131,0.139,0.008,0.881,0.997,11.756,6.881,-4.875,0.002,0.007,7.222,7.194,-0.028,0.442,0.725,24
"ENSMUSG00000028463",230099,"Car9","protein_coding","4",43506966,43513729,0.281,0.308,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.108,0.099,-0.009,0.852,0.997,8.449,4.816,-3.633,0.06,0.075,6.845,6.828,-0.017,0.63,0.847,24
"ENSMUSG00000028468",242406,"Rgp1","protein_coding","4",43578715,43587487,0,0.002,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.055,0.067,0.011,0.599,0.997,8.115,1.152,-6.963,0,0.002,11.195,11.205,0.01,0.492,0.762,24
"ENSMUSG00000028470",68917,"Hint2","protein_coding","4",43654227,43656466,0.016,0.03,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.097,0.094,-0.003,0.931,0.997,9.687,6.354,-3.333,0.02,0.03,9.405,9.455,0.05,0.041,0.256,24
